,HHSIZE,TRPDUR,TRPDIST_HN,DNYC,PMODE,TOTTR_R,INCOM_R,HHVEH_R,GENDER,AGE_R,LIC
1322,4,15,0.44,0,19,2,2,2,Female,35-54 years,Yes
1323,4,14,6.61,0,19,1,2,2,Female,35-54 years,Yes
1324,4,25,6.42,0,19,1,2,2,Female,35-54 years,Yes
1325,2,45,24.47,1,19,1,2,2,Male,35-54 years,Yes
1326,1,10,4.11,0,5,1,2,1,Female,65 years or older,No
1327,1,10,4.14,0,5,1,2,1,Female,65 years or older,No
1328,4,8,3.27,0,19,1,3,2,Male,35-54 years,Yes
1329,4,35,9.24,0,1,3,3,2,Male,35-54 years,Yes
1330,4,40,9.27,0,1,3,3,2,Male,35-54 years,Yes
1331,4,9,3.64,0,19,1,3,2,Male,35-54 years,Yes
1332,4,3,0.84,0,19,1,3,2,Male,35-54 years,Yes
1333,2,124,20.13,1,12,1,3,1,Female,35-54 years,No
1334,5,16,0.0,0,19,1,4,2,Male,35-54 years,Yes
1335,5,4,2.07,0,19,1,4,2,Male,35-54 years,Yes
1336,5,87,30.13,1,19,1,4,2,Male,35-54 years,Yes
1337,5,9,2.22,0,19,1,4,2,Male,35-54 years,Yes
1338,5,17,17.12,0,19,1,4,2,Male,35-54 years,Yes
1339,5,22,0.0,0,19,2,4,2,Male,35-54 years,Yes
1340,4,45,12.28,0,19,1,4,2,Male,35-54 years,Yes
1341,4,15,3.82,0,19,1,4,2,Male,35-54 years,Yes
1342,4,15,3.76,0,19,1,4,2,Male,35-54 years,Yes
1343,4,30,12.28,0,19,1,4,2,Male,35-54 years,Yes
1344,2,65,31.95,1,19,1,2,3,Male,35-54 years,Yes
1345,2,10,6.42,0,19,1,2,3,Female,35-54 years,Yes
1346,2,30,6.47,0,19,1,2,3,Female,35-54 years,Yes
1347,1,25,12.66,0,19,1,2,1,Male,35-54 years,Yes
1348,1,10,10.32,0,19,1,2,1,Male,35-54 years,Yes
1349,1,90,19.23,0,19,1,2,1,Male,35-54 years,Yes
1350,2,3,0.75,0,23,1,2,2,Female,55-64 years,Yes
1351,2,5,0.75,0,23,1,2,2,Female,55-64 years,Yes
1352,2,24,11.17,0,19,1,4,2,Male,55-64 years,Yes
1353,2,9,1.78,0,19,1,4,2,Male,55-64 years,Yes
1354,2,6,0.83,0,19,1,4,2,Male,55-64 years,Yes
1355,2,9,2.72,0,19,2,4,2,Male,55-64 years,Yes
1356,2,17,4.96,0,19,1,4,2,Male,55-64 years,Yes
1357,2,15,7.21,0,19,1,4,2,Male,55-64 years,Yes
1358,6,15,6.26,0,19,1,2,2,Male,35-54 years,Yes
1359,6,17,2.89,0,19,1,2,2,Male,35-54 years,Yes
1360,6,39,6.7,0,19,1,2,2,Male,35-54 years,Yes
1361,6,19,10.41,0,19,1,2,2,Male,35-54 years,Yes
1362,6,21,6.26,0,19,1,2,2,Male,35-54 years,Yes
1363,3,25,10.75,0,19,1,2,3,Female,35-54 years,Yes
1364,3,15,6.56,0,19,1,2,3,Female,35-54 years,Yes
1365,3,10,2.78,0,19,1,2,3,Female,35-54 years,Yes
1366,3,4,3.75,0,19,1,2,3,Female,19-24 years,Yes
1367,3,5,3.38,0,19,1,2,3,Female,19-24 years,Yes
1368,2,95,20.46,0,6,1,4,2,Male,55-64 years,Yes
1369,2,90,20.46,0,6,1,4,2,Male,55-64 years,Yes
1370,3,30,23.51,0,19,1,2,2,Female,65 years or older,Yes
1371,3,23,23.5,0,19,1,2,2,Female,65 years or older,Yes
1372,3,11,3.98,0,19,1,2,2,Female,65 years or older,Yes
1373,3,6,4.06,0,19,1,2,2,Female,65 years or older,Yes
1374,3,30,14.11,0,19,1,2,2,Female,35-54 years,Yes
1375,3,30,13.79,0,19,1,2,2,Female,35-54 years,Yes
1376,3,21,6.65,0,5,1,2,2,Female,19-24 years,No
1377,3,6,8.34,0,5,1,2,2,Female,19-24 years,No
1378,3,5,8.34,0,5,1,2,2,Female,19-24 years,No
1379,3,10,6.74,0,5,1,2,2,Female,19-24 years,No
1380,5,18,9.51,0,19,1,4,2,Female,35-54 years,Yes
1381,5,14,9.16,0,19,1,4,2,Female,35-54 years,Yes
1382,5,93,45.45,1,6,1,4,2,Male,35-54 years,Yes
1383,1,15,11.61,0,19,1,2,1,Female,55-64 years,Yes
1384,1,15,2.12,0,19,1,2,1,Female,55-64 years,Yes
1385,1,15,9.35,0,19,1,2,1,Female,55-64 years,Yes
1386,1,15,1.47,0,22,1,2,0,Female,55-64 years,No
1387,1,65,1.47,0,22,1,2,0,Female,55-64 years,No
1388,4,115,0.0,1,6,1,4,3,Male,35-54 years,Yes
1389,4,6,2.37,0,19,1,4,3,Female,35-54 years,Yes
1390,4,6,2.37,0,19,1,4,3,Female,35-54 years,Yes
1391,3,15,0.77,0,19,1,2,3,Female,35-54 years,Yes
1392,3,50,0.77,0,19,1,2,3,Female,35-54 years,Yes
1393,3,15,3.98,0,19,1,2,3,Male,35-54 years,Yes
1394,3,15,4.06,0,19,1,2,3,Male,35-54 years,Yes
1395,2,16,3.64,0,19,1,2,2,Male,55-64 years,Yes
1396,2,20,3.64,0,19,1,2,2,Male,55-64 years,Yes
1397,5,6,1.86,0,19,1,3,2,Female,35-54 years,Yes
1398,5,5,1.86,0,19,1,3,2,Female,35-54 years,Yes
1399,5,26,1.86,0,23,1,3,2,Female,35-54 years,Yes
1400,5,30,1.86,0,23,1,3,2,Female,35-54 years,Yes
1401,3,40,21.83,0,19,1,4,3,Male,55-64 years,Yes
1402,3,45,21.96,0,19,1,4,3,Male,55-64 years,Yes
1403,3,60,12.25,0,19,1,4,3,Female,55-64 years,Yes
1404,3,60,12.53,0,19,1,4,3,Female,55-64 years,Yes
1405,2,23,11.74,0,19,1,4,2,Female,55-64 years,Yes
1406,2,40,15.08,0,19,1,4,2,Female,55-64 years,Yes
1407,2,20,9.93,0,19,1,4,2,Female,55-64 years,Yes
1408,1,26,12.35,0,19,1,3,2,Male,19-24 years,Yes
1409,1,43,11.85,0,19,1,3,2,Male,19-24 years,Yes
1410,4,15,0.6,0,19,1,2,2,Male,35-54 years,Yes
1411,4,15,0.6,0,19,1,2,2,Male,35-54 years,Yes
1412,2,15,7.87,0,19,1,4,3,Male,35-54 years,Yes
1413,2,102,27.31,1,6,1,4,3,Male,35-54 years,Yes
1414,2,27,4.98,0,19,1,4,3,Female,35-54 years,Yes
1415,2,30,5.37,0,19,1,4,3,Female,35-54 years,Yes
1416,2,20,3.32,0,19,1,9,3,Female,55-64 years,Yes
1417,2,20,3.31,0,19,1,9,3,Female,55-64 years,Yes
1418,2,25,6.83,0,19,1,9,3,Male,55-64 years,Yes
1419,2,15,6.59,0,19,1,9,3,Male,55-64 years,Yes
1420,2,65,18.81,1,6,1,4,2,Male,55-64 years,Yes
1421,1,26,3.54,0,15,1,9,0,Female,55-64 years,No
1422,1,30,3.5,0,15,1,9,0,Female,55-64 years,No
1423,4,17,6.69,0,19,1,2,3,Female,35-54 years,Yes
1424,4,15,5.47,0,19,1,2,3,Female,35-54 years,Yes
1425,4,23,6.85,0,19,1,2,3,Female,19-24 years,Yes
1426,4,17,5.98,0,19,1,2,3,Female,19-24 years,Yes
1427,4,11,3.1,0,19,1,2,3,Female,19-24 years,Yes
1428,4,9,3.12,0,19,1,2,3,Female,19-24 years,Yes
1429,4,26,3.24,0,19,1,4,3,Female,35-54 years,Yes
1430,4,22,3.24,0,19,1,4,3,Female,35-54 years,Yes
1431,4,30,13.2,1,19,1,4,3,Male,35-54 years,Yes
1432,4,75,31.86,0,19,1,4,3,Male,25-34 years,Yes
1433,4,5,0.89,0,19,1,4,3,Male,25-34 years,Yes
1434,4,75,32.21,0,19,1,4,3,Male,25-34 years,Yes
1435,4,24,6.14,1,19,1,4,2,Male,35-54 years,Yes
1436,4,16,3.66,0,19,1,4,2,Female,35-54 years,Yes
1437,4,25,4.01,0,19,1,4,2,Female,35-54 years,Yes
1438,3,12,6.44,0,17,2,4,2,Female,35-54 years,Yes
1439,3,10,4.88,0,17,2,4,2,Female,35-54 years,Yes
1440,3,4,1.9,0,17,2,4,2,Female,35-54 years,Yes
1441,3,8,1.71,0,19,2,4,3,Female,55-64 years,Yes
1442,3,10,0.76,0,19,1,4,3,Female,55-64 years,Yes
1443,3,3,0.87,0,19,1,4,3,Female,55-64 years,Yes
1444,3,5,1.15,0,19,1,4,3,Female,55-64 years,Yes
1445,3,14,3.56,0,19,1,4,3,Female,55-64 years,Yes
1446,3,7,1.2,0,19,1,4,3,Female,55-64 years,Yes
1447,3,25,9.97,1,19,1,4,3,Male,55-64 years,Yes
1448,3,65,0.0,1,6,2,4,3,Female,19-24 years,Yes
1449,2,60,23.77,0,19,1,2,2,Male,35-54 years,Yes
1450,2,90,22.84,0,19,1,2,2,Male,35-54 years,Yes
1451,2,30,12.29,0,19,1,2,2,Female,35-54 years,Yes
1452,2,43,12.69,0,19,1,2,2,Female,35-54 years,Yes
1453,4,60,22.82,1,19,1,4,2,Female,35-54 years,Yes
1454,4,15,5.34,0,19,3,4,2,Female,35-54 years,Yes
1455,4,15,5.16,0,19,3,4,2,Male,35-54 years,Yes
1456,4,90,31.17,1,6,1,4,2,Male,35-54 years,Yes
1457,2,17,8.81,0,19,1,9,3,Female,35-54 years,Yes
1458,2,27,8.86,0,19,1,9,3,Female,35-54 years,Yes
1459,2,24,15.71,0,19,1,9,3,Male,35-54 years,Yes
1460,2,8,2.99,0,19,1,9,3,Male,35-54 years,Yes
1461,2,10,3.01,0,19,1,9,3,Male,35-54 years,Yes
1462,2,8,2.29,0,19,1,9,3,Male,35-54 years,Yes
1463,2,6,2.32,0,19,1,9,3,Male,35-54 years,Yes
1464,2,45,15.6,0,19,1,9,3,Male,35-54 years,Yes
1465,1,15,1.03,0,19,1,2,1,Male,35-54 years,Yes
1466,3,14,2.26,0,19,1,4,3,Female,35-54 years,Yes
1467,3,24,13.13,0,19,1,4,3,Female,35-54 years,Yes
1468,3,26,14.55,0,19,1,4,3,Female,35-54 years,Yes
1469,3,25,14.75,0,19,1,4,3,Male,35-54 years,Yes
1470,6,10,4.12,0,19,1,2,3,Male,35-54 years,Yes
1471,6,15,4.09,0,19,1,2,3,Male,35-54 years,Yes
1472,6,10,4.12,0,19,1,2,3,Male,35-54 years,Yes
1473,6,10,4.09,0,19,1,2,3,Male,35-54 years,Yes
1474,2,10,0.62,0,19,1,3,2,Male,65 years or older,Yes
1475,2,5,2.56,0,19,1,3,2,Male,65 years or older,Yes
1476,2,20,27.85,0,19,1,3,2,Male,65 years or older,Yes
1477,2,45,25.04,0,19,1,3,2,Male,65 years or older,Yes
1478,2,40,12.52,0,19,1,3,2,Male,65 years or older,Yes
1479,2,30,6.24,0,19,1,3,2,Male,65 years or older,Yes
1480,2,39,34.44,1,19,2,4,2,Female,55-64 years,Yes
1481,2,6,1.44,0,19,1,4,2,Female,55-64 years,Yes
1482,2,54,22.94,0,19,1,4,2,Female,55-64 years,Yes
1483,2,9,3.29,0,19,1,4,2,Female,55-64 years,Yes
1484,2,11,2.17,0,19,1,4,2,Female,55-64 years,Yes
1485,2,10,1.99,0,19,1,4,2,Male,55-64 years,Yes
1486,2,25,12.13,0,19,1,4,2,Male,55-64 years,Yes
1487,2,40,13.64,0,19,1,4,2,Male,55-64 years,Yes
1488,2,17,8.61,0,19,1,2,2,Female,35-54 years,Yes
1489,2,12,2.52,0,19,1,2,2,Female,35-54 years,Yes
1490,2,63,12.55,0,19,1,2,2,Female,35-54 years,Yes
1491,2,30,4.77,0,19,1,2,2,Female,35-54 years,Yes
1492,3,18,11.18,0,19,1,2,3,Male,55-64 years,Yes
1493,3,3,1.01,0,19,1,2,3,Male,55-64 years,Yes
1494,3,13,4.86,0,19,1,2,3,Male,55-64 years,Yes
1495,3,15,4.86,0,19,1,2,3,Male,55-64 years,Yes
1496,3,41,8.11,0,19,1,2,3,Male,55-64 years,Yes
1497,3,10,4.32,0,19,1,2,3,Male,55-64 years,Yes
1498,3,3,0.62,0,19,1,2,3,Male,55-64 years,Yes
1499,1,26,8.66,0,19,1,2,1,Female,65 years or older,Yes
1500,1,17,8.24,0,19,1,2,1,Female,65 years or older,Yes
1501,1,2,0.86,0,19,1,2,1,Female,65 years or older,Yes
1502,1,8,3.01,0,19,1,2,1,Female,65 years or older,Yes
1503,2,35,0.0,0,17,2,9,2,Female,35-54 years,No
1504,2,15,0.0,0,17,2,9,2,Female,35-54 years,No
1505,4,19,0.0,0,19,1,4,2,Male,35-54 years,Yes
1506,4,19,0.0,0,19,1,4,2,Male,35-54 years,Yes
1507,3,14,20.02,1,19,2,4,2,Male,25-34 years,Yes
1508,3,14,20.02,1,17,2,4,2,Female,25-34 years,Yes
1509,1,12,0.0,0,19,1,3,2,Male,35-54 years,Yes
1510,1,5,1.26,0,23,2,3,2,Male,35-54 years,Yes
1511,1,4,1.26,0,23,2,3,2,Male,35-54 years,Yes
1512,1,12,0.0,0,19,1,3,2,Male,35-54 years,Yes
1513,2,15,6.27,0,19,1,3,2,Female,55-64 years,Yes
1514,2,18,7.78,0,19,1,3,2,Female,55-64 years,Yes
1515,2,13,9.34,0,19,1,3,2,Female,55-64 years,Yes
1516,2,31,23.26,0,19,1,3,2,Male,35-54 years,Yes
1517,2,7,0.53,0,26,1,3,2,Male,35-54 years,Yes
1518,2,32,12.72,0,26,1,3,2,Male,35-54 years,Yes
1519,2,15,10.37,0,26,1,3,2,Male,35-54 years,Yes
1520,2,21,1.93,0,26,1,3,2,Male,35-54 years,Yes
1521,2,2,0.59,0,26,1,3,2,Male,35-54 years,Yes
1522,2,73,4.86,0,26,1,3,2,Male,35-54 years,Yes
1523,2,21,12.21,0,26,1,3,2,Male,35-54 years,Yes
1524,2,39,11.33,0,26,1,3,2,Male,35-54 years,Yes
1525,2,6,0.88,0,26,1,3,2,Male,35-54 years,Yes
1526,2,56,23.79,0,26,1,3,2,Male,35-54 years,Yes
1527,2,25,15.29,0,26,1,3,2,Male,35-54 years,Yes
1528,2,85,23.04,0,19,1,3,2,Male,35-54 years,Yes
1529,4,40,4.68,0,15,1,2,1,Female,35-54 years,Yes
1530,4,90,4.68,0,15,1,2,1,Female,35-54 years,Yes
1531,4,36,5.04,0,15,1,2,1,Male,35-54 years,Yes
1532,4,25,5.04,0,15,1,2,1,Male,35-54 years,Yes
1533,4,1,0.95,0,19,1,3,3,Female,35-54 years,Yes
1534,4,26,17.57,0,19,1,3,3,Female,35-54 years,Yes
1535,4,36,16.6,0,19,1,3,3,Female,35-54 years,Yes
1536,4,7,0.95,0,19,1,3,3,Male,19-24 years,Yes
1537,4,6,0.95,0,19,1,3,3,Male,19-24 years,Yes
1538,5,43,28.41,1,19,1,4,2,Male,25-34 years,Yes
1539,5,13,3.46,0,19,1,4,3,Female,35-54 years,Yes
1540,5,16,3.46,0,19,1,4,3,Female,35-54 years,Yes
1541,4,4,0.42,0,19,2,4,3,Female,35-54 years,Yes
1542,4,35,13.77,0,19,1,4,3,Female,35-54 years,Yes
1543,4,33,14.35,0,19,1,4,3,Female,35-54 years,Yes
1544,4,90,33.15,1,6,1,4,3,Male,35-54 years,Yes
1545,4,9,2.95,0,19,1,4,3,Female,16-18 years,Yes
1546,4,6,2.95,0,19,1,4,3,Female,16-18 years,Yes
1547,1,25,0.0,0,19,1,4,1,Male,55-64 years,Yes
1548,1,22,2.59,0,19,1,4,1,Male,55-64 years,Yes
1549,1,25,0.0,0,19,1,4,1,Male,55-64 years,Yes
1550,2,23,12.39,0,19,1,4,2,Male,25-34 years,Yes
1551,2,10,9.8,0,19,1,4,2,Male,25-34 years,Yes
1552,2,13,2.41,0,19,1,4,2,Male,25-34 years,Yes
1553,2,21,11.8,0,19,1,4,2,Female,25-34 years,Yes
1554,2,27,12.19,0,19,1,4,2,Female,25-34 years,Yes
1555,3,20,9.86,0,19,1,4,3,Female,55-64 years,Yes
1556,3,9,4.28,0,19,1,4,3,Female,55-64 years,Yes
1557,3,26,11.48,0,19,1,4,3,Female,55-64 years,Yes
1558,3,4,2.01,0,19,1,4,3,Female,19-24 years,Yes
1559,3,4,2.01,0,19,1,4,3,Female,19-24 years,Yes
1560,3,4,2.01,0,19,1,4,3,Female,19-24 years,Yes
1561,3,4,2.01,0,19,1,4,3,Female,19-24 years,Yes
1562,2,25,9.61,0,19,1,4,3,Male,35-54 years,Yes
1563,2,10,5.49,0,19,1,4,3,Male,35-54 years,Yes
1564,2,15,5.37,0,19,1,4,3,Male,35-54 years,Yes
1565,2,25,10.62,0,19,1,4,3,Male,35-54 years,Yes
1566,2,40,21.27,0,19,1,4,3,Female,35-54 years,Yes
1567,2,45,0.0,0,19,1,4,3,Female,35-54 years,Yes
1568,2,45,0.0,0,19,1,4,3,Female,35-54 years,Yes
1569,5,12,6.97,0,19,1,3,3,Female,55-64 years,Yes
1570,5,12,6.97,0,19,1,3,3,Female,55-64 years,Yes
1571,5,45,22.29,0,19,1,3,3,Female,35-54 years,Yes
1572,5,15,2.74,0,19,1,3,3,Female,35-54 years,Yes
1573,5,5,2.94,0,19,1,3,3,Female,35-54 years,Yes
1574,5,15,13.19,0,19,1,3,3,Female,35-54 years,Yes
1575,5,30,6.76,0,19,1,3,3,Female,35-54 years,Yes
1576,5,15,5.51,0,19,1,3,3,Female,35-54 years,Yes
1577,5,14,5.61,0,19,2,3,3,Female,35-54 years,Yes
1578,5,25,5.74,0,19,1,3,3,Female,35-54 years,Yes
1579,2,30,17.3,1,19,1,4,2,Male,55-64 years,Yes
1580,2,25,10.68,0,19,1,4,2,Female,55-64 years,Yes
1581,2,30,10.26,0,19,1,4,2,Female,55-64 years,Yes
1582,2,20,6.13,0,19,1,4,2,Female,35-54 years,Yes
1583,2,25,6.14,0,19,1,4,2,Female,35-54 years,Yes
1584,2,26,20.51,0,19,1,4,2,Male,35-54 years,Yes
1585,2,35,20.59,0,19,1,4,2,Male,35-54 years,Yes
1586,4,9,5.42,0,19,1,4,2,Male,35-54 years,Yes
1587,4,13,5.45,0,19,1,4,2,Male,35-54 years,Yes
1588,6,60,44.37,1,19,1,4,2,Male,35-54 years,Yes
1589,2,130,52.2,1,6,1,4,2,Male,55-64 years,Yes
1590,2,10,4.53,0,19,1,4,2,Female,55-64 years,Yes
1591,2,25,4.53,0,19,1,4,2,Female,55-64 years,Yes
1592,4,12,4.19,0,19,1,4,3,Female,35-54 years,Yes
1593,4,13,3.94,0,19,1,4,3,Female,35-54 years,Yes
1594,4,5,0.44,0,19,2,4,3,Female,35-54 years,Yes
1595,4,2,2.42,0,19,1,4,3,Female,35-54 years,Yes
1596,4,5,2.5,0,19,1,4,3,Female,35-54 years,Yes
1597,4,14,3.94,0,19,1,4,3,Female,35-54 years,Yes
1598,4,13,2.34,0,19,2,4,3,Male,35-54 years,Yes
1599,4,62,28.05,1,19,2,4,3,Male,35-54 years,Yes
1600,2,20,9.39,0,19,1,4,2,Male,55-64 years,Yes
1601,2,20,9.39,0,19,1,4,2,Male,55-64 years,Yes
1602,4,24,15.8,0,19,1,4,2,Male,35-54 years,Yes
1603,4,49,46.41,0,19,1,4,2,Male,35-54 years,Yes
1604,4,52,42.19,0,19,1,4,2,Male,35-54 years,Yes
1605,4,8,3.56,0,19,1,4,2,Male,35-54 years,Yes
1606,4,27,11.05,0,19,1,4,2,Male,35-54 years,Yes
1607,4,6,2.89,0,19,2,4,2,Male,35-54 years,Yes
1608,4,6,2.89,0,19,2,4,2,Male,35-54 years,Yes
1609,4,25,10.96,0,19,2,4,2,Female,35-54 years,Yes
1610,4,10,1.81,0,19,1,4,2,Female,35-54 years,Yes
1611,4,10,1.81,0,19,1,4,2,Female,35-54 years,Yes
1612,4,20,10.96,0,19,2,4,2,Female,35-54 years,Yes
1613,2,5,0.73,0,19,2,2,3,Female,35-54 years,Yes
1614,2,55,29.64,0,19,1,2,3,Female,35-54 years,Yes
1615,2,60,29.64,0,19,1,2,3,Female,35-54 years,Yes
1616,2,13,5.99,0,19,1,2,2,Male,Younger than 16 years,
1617,2,13,2.95,0,19,1,2,2,Male,Younger than 16 years,
1618,2,7,2.76,0,19,1,2,2,Male,Younger than 16 years,
1619,1,11,5.19,0,19,1,4,1,Male,55-64 years,Yes
1620,1,15,5.19,0,19,1,4,1,Male,55-64 years,Yes
1621,1,15,5.19,0,19,1,4,1,Male,55-64 years,Yes
1622,1,10,5.19,0,19,1,4,1,Male,55-64 years,Yes
1623,1,5,2.15,0,19,1,4,1,Male,55-64 years,Yes
1624,1,2,2.15,0,19,1,4,1,Male,55-64 years,Yes
1625,5,90,32.38,1,6,1,4,2,Male,35-54 years,Yes
1626,2,3,0.65,0,19,1,4,2,Female,55-64 years,Yes
1627,2,24,17.86,0,19,1,4,2,Female,55-64 years,Yes
1628,2,18,17.43,0,19,1,4,2,Female,55-64 years,Yes
1629,2,19,3.05,0,19,1,4,2,Female,55-64 years,Yes
1630,2,20,13.29,0,19,1,4,2,Male,19-24 years,Yes
1631,2,38,13.26,0,19,1,4,2,Male,19-24 years,Yes
1632,2,99,32.52,1,6,1,4,2,Female,35-54 years,Yes
1633,2,45,9.05,0,2,1,4,2,Male,35-54 years,No
1634,2,121,8.55,0,17,2,4,2,Male,35-54 years,No
1635,3,90,45.11,0,19,1,4,3,Male,35-54 years,Yes
1636,3,61,71.07,0,19,1,4,3,Female,35-54 years,Yes
1637,3,60,17.75,1,19,1,4,3,Female,25-34 years,Yes
1638,1,3,1.39,0,19,1,2,1,Female,55-64 years,Yes
1639,1,14,5.6,0,19,1,2,1,Female,55-64 years,Yes
1640,1,7,5.56,0,19,1,2,1,Female,55-64 years,Yes
1641,1,16,6.27,0,19,1,2,1,Female,55-64 years,Yes
1642,3,8,2.66,0,19,1,3,3,Male,55-64 years,Yes
1643,3,6,0.4,0,19,1,3,3,Male,55-64 years,Yes
1644,3,4,0.9,0,19,1,3,3,Male,55-64 years,Yes
1645,3,7,1.83,0,19,1,3,3,Male,55-64 years,Yes
1646,3,4,2.07,0,19,1,3,3,Male,55-64 years,Yes
1647,3,14,4.86,0,19,1,3,3,Male,55-64 years,Yes
1648,3,5,0.51,0,19,1,3,3,Female,35-54 years,Yes
1649,3,5,0.51,0,19,1,3,3,Female,35-54 years,Yes
1650,3,2,0.51,0,19,1,3,3,Female,19-24 years,Yes
1651,3,3,0.51,0,19,1,3,3,Female,19-24 years,Yes
1652,3,15,8.86,0,19,1,4,3,Male,55-64 years,Yes
1653,3,30,9.01,0,19,1,4,3,Male,55-64 years,Yes
1654,3,23,8.86,0,19,1,4,3,Female,25-34 years,Yes
1655,3,32,9.01,0,19,1,4,3,Female,25-34 years,Yes
1656,3,10,4.23,0,19,1,4,3,Female,55-64 years,Yes
1657,3,10,4.23,0,19,1,4,3,Female,55-64 years,Yes
1658,2,45,10.24,0,19,1,4,3,Female,35-54 years,Yes
1659,2,38,10.1,0,19,1,4,3,Female,35-54 years,Yes
1660,2,60,31.8,1,19,1,4,2,Male,65 years or older,Yes
1661,2,35,7.07,0,19,1,4,2,Male,65 years or older,Yes
1662,2,15,12.41,0,19,1,4,2,Male,65 years or older,Yes
1663,2,35,8.64,0,19,1,4,2,Male,65 years or older,Yes
1664,2,30,12.08,0,19,1,4,2,Female,55-64 years,Yes
1665,2,15,1.11,0,19,1,4,2,Female,55-64 years,Yes
1666,2,20,1.11,0,19,1,4,2,Female,55-64 years,Yes
1667,2,50,11.69,0,19,1,4,2,Female,55-64 years,Yes
1668,2,35,29.65,0,19,1,4,2,Male,55-64 years,Yes
1669,2,31,29.64,0,19,1,4,2,Male,55-64 years,Yes
1670,2,23,19.48,0,19,2,4,2,Male,55-64 years,Yes
1671,2,15,9.45,0,19,1,4,2,Male,55-64 years,Yes
1672,2,14,9.94,0,19,1,4,2,Male,55-64 years,Yes
1673,4,20,10.15,0,19,1,4,3,Female,35-54 years,Yes
1674,4,20,9.8,0,19,1,4,3,Female,35-54 years,Yes
1675,4,10,0.99,0,19,1,4,3,Female,35-54 years,Yes
1676,4,103,34.36,1,6,2,4,3,Female,19-24 years,Yes
1677,2,108,27.14,1,6,1,2,1,Male,55-64 years,Yes
1678,2,4,1.81,0,17,2,2,1,Female,55-64 years,Yes
1679,2,2,1.32,0,19,1,2,1,Female,55-64 years,Yes
1680,2,12,4.71,0,19,1,2,1,Female,55-64 years,Yes
1681,2,13,3.28,0,19,1,2,1,Female,55-64 years,Yes
1682,2,8,2.21,0,19,2,2,1,Female,55-64 years,Yes
1683,2,20,12.88,0,19,1,4,2,Male,25-34 years,Yes
1684,2,20,12.68,0,19,1,4,2,Male,25-34 years,Yes
1685,2,38,21.93,0,19,1,4,2,Male,25-34 years,Yes
1686,2,39,22.32,0,19,1,4,2,Male,25-34 years,Yes
1687,2,30,7.9,0,19,1,2,2,Male,55-64 years,Yes
1688,2,60,7.91,0,19,1,2,2,Male,55-64 years,Yes
1689,4,99,0.0,1,6,2,4,3,Female,35-54 years,Yes
1690,4,40,38.23,0,19,1,4,3,Male,35-54 years,Yes
1691,4,60,38.5,0,19,1,4,3,Male,35-54 years,Yes
1692,4,25,7.37,0,19,3,2,2,Female,35-54 years,Yes
1693,4,10,5.74,0,19,2,2,2,Female,35-54 years,Yes
1694,4,35,13.87,0,19,1,2,2,Female,35-54 years,Yes
1695,4,35,11.51,0,19,2,2,2,Female,35-54 years,Yes
1696,4,10,7.09,0,19,2,2,2,Female,35-54 years,Yes
1697,4,30,7.37,0,19,3,2,2,Female,35-54 years,Yes
1698,4,80,15.73,1,19,1,2,3,Male,35-54 years,Yes
1699,4,25,4.8,0,16,2,2,3,Female,35-54 years,Yes
1700,4,20,4.57,0,16,3,2,3,Female,35-54 years,Yes
1701,4,43,27.26,1,17,2,2,3,Female,19-24 years,No
1702,3,7,1.86,0,19,1,4,2,Male,35-54 years,Yes
1703,3,20,10.24,0,19,1,4,2,Male,35-54 years,Yes
1704,3,260,0.0,0,19,1,4,2,Male,35-54 years,Yes
1705,2,50,25.87,0,19,1,4,2,Male,55-64 years,Yes
1706,2,56,26.03,0,19,1,4,2,Male,55-64 years,Yes
1707,4,20,8.57,0,19,1,4,2,Male,35-54 years,Yes
1708,4,10,1.37,0,19,1,4,2,Male,35-54 years,Yes
1709,4,10,1.3,0,19,1,4,2,Male,35-54 years,Yes
1710,4,15,6.17,0,19,1,4,2,Male,35-54 years,Yes
1711,4,20,6.61,0,19,1,4,2,Female,35-54 years,Yes
1712,4,20,6.45,0,19,1,4,2,Female,35-54 years,Yes
1713,1,2,3.28,0,19,1,3,1,Male,19-24 years,Yes
1714,1,60,39.71,0,19,1,3,1,Male,19-24 years,Yes
1715,1,85,40.9,0,19,1,3,1,Male,19-24 years,Yes
1716,3,36,15.02,0,19,1,4,3,Female,55-64 years,Yes
1717,3,35,15.04,0,19,1,4,3,Female,55-64 years,Yes
1718,3,30,11.43,0,19,1,4,3,Male,55-64 years,Yes
1719,3,5,3.45,0,19,1,4,3,Male,55-64 years,Yes
1720,3,10,3.32,0,19,1,4,3,Male,55-64 years,Yes
1721,3,5,3.55,0,19,1,4,3,Male,55-64 years,Yes
1722,3,36,8.98,0,19,1,4,3,Male,55-64 years,Yes
1723,3,5,2.67,0,19,1,4,3,Male,55-64 years,Yes
1724,3,1,0.0,0,19,1,4,3,Male,19-24 years,Yes
1725,3,1,0.0,0,19,1,4,3,Male,19-24 years,Yes
1726,2,26,7.86,0,19,1,3,2,Female,55-64 years,Yes
1727,2,5,0.88,0,19,1,3,2,Female,55-64 years,Yes
1728,2,35,0.88,0,19,1,3,2,Female,55-64 years,Yes
1729,2,27,7.32,0,19,1,3,2,Female,55-64 years,Yes
1730,2,4,0.76,0,19,1,3,2,Male,55-64 years,Yes
1731,2,15,5.18,0,19,1,3,2,Male,55-64 years,Yes
